token,pos
to,ADP
24.7,NUM
"
  ",SPACE
mln,NOUN
",",PUNCT
and,CCONJ
Europe,PROPN
",",PUNCT
42.9,NUM
pct,NOUN
to,ADP
11.0,NUM
mln,NOUN
.,PUNCT
"
  

",SPACE
JARDINE,PROPN
MATHESON,PROPN
SAID,VERB
IT,PRON
SETS,VERB
TWO,NUM
-,PUNCT
FOR,ADP
-,PUNCT
FIVE,NUM
BONUS,PROPN
ISSUE,NOUN
REPLACING,VERB
"""",PUNCT
B,PROPN
"""",PUNCT
SHARES,NOUN
"
  ",SPACE
JARDINE,PROPN
MATHESON,PROPN
SAID,VERB
IT,PRON
SETS,VERB
TWO,NUM
-,PUNCT
FOR,ADP
-,PUNCT
FIVE,NUM
BONUS,PROPN
ISSUE,NOUN
REPLACING,VERB
"""",PUNCT
B,PROPN
"""",PUNCT
SHARES,NOUN
"
  

",SPACE
SOUTH,PROPN
KOREA,PROPN
MOVES,VERB
TO,PART
SLOW,VERB
GROWTH,NOUN
OF,ADP
TRADE,PROPN
SURPLUS,PROPN
"
  ",SPACE
South,PROPN
Korea,PROPN
's,PART
trade,NOUN
surplus,NOUN
is,AUX
growing,VERB
too,ADV
"
  ",SPACE
fast,ADV
and,CCONJ
the,DET
government,NOUN
has,AUX
started,VERB
taking,VERB
steps,NOUN
to,PART
slow,VERB
it,PRON
"
  ",SPACE
down,ADP
",",PUNCT
Deputy,PROPN
Prime,PROPN
Minister,PROPN
Kim,PROPN
Mahn,PROPN
-,PUNCT
je,PROPN
said,VERB
.,PUNCT
"
      ",SPACE
He,PRON
told,VERB
a,DET
press,NOUN
conference,NOUN
the,DET
government,NOUN
planned,VERB
to,PART
"
  ",SPACE
increase,NOUN
investment,NOUN
",",PUNCT
speed,VERB
up,ADP
the,DET
opening,NOUN
of,ADP
the,DET
local,ADJ
market,NOUN
"
  ",SPACE
to,ADP
foreign,ADJ
imports,NOUN
and,CCONJ
gradually,ADV
adjust,VERB
its,PRON
currency,NOUN
to,PART
hold,VERB
"
  ",SPACE
the,DET
surplus,NOUN
"""",PUNCT
at,ADP
a,DET
proper,ADJ
level,NOUN
.,PUNCT
"""",PUNCT
"
      ",SPACE
But,CCONJ
he,PRON
said,VERB
the,DET
government,NOUN
would,AUX
not,PART
allow,VERB
the,DET
won,NOUN
to,PART
"
  ",SPACE
appreciate,VERB
too,ADV
much,ADV
in,ADP
a,DET
short,ADJ
period,NOUN
of,ADP
time,NOUN
.,PUNCT
South,PROPN
Korea,PROPN
has,AUX
"
  ",SPACE
been,AUX
under,ADP
pressure,NOUN
from,ADP
Washington,PROPN
to,PART
revalue,VERB
the,DET
won,NOUN
.,PUNCT
"
      ",SPACE
The,DET
U.S.,PROPN
Wants,VERB
South,PROPN
Korea,PROPN
to,PART
cut,VERB
its,PRON
trade,NOUN
surplus,NOUN
with,ADP
"
  ",SPACE
the,DET
U.S.,PROPN
",",PUNCT
Which,PRON
rose,VERB
to,ADP
7.4,NUM
billion,NUM
dlrs,NOUN
in,ADP
1986,NUM
from,ADP
4.3,NUM
"
  ",SPACE
billion,NUM
dlrs,NOUN
in,ADP
1985,NUM
.,PUNCT
"
      ",SPACE
Kim,PROPN
",",PUNCT
who,PRON
is,AUX
also,ADV
economic,ADJ
planning,NOUN
minister,NOUN
",",PUNCT
said,VERB
prospects,NOUN
"
  ",SPACE
were,AUX
bright,ADJ
for,ADP
the,DET
South,ADJ
Korean,ADJ
economy,NOUN
",",PUNCT
but,CCONJ
the,DET
government,NOUN
"
  ",SPACE
would,AUX
try,VERB
to,PART
hold,VERB
the,DET
current,ADJ
account,NOUN
surplus,NOUN
to,ADP
around,ADV
five,NUM
"
  ",SPACE
billion,NUM
dlrs,NOUN
a,DET
year,NOUN
for,ADP
the,DET
next,ADJ
five,NUM
years,NOUN
.,PUNCT
"
      ",SPACE
"""",PUNCT
Our,PRON
government,NOUN
projections,NOUN
of,ADP
eight,NUM
pct,NOUN
GNP,PROPN
growth,NOUN
",",PUNCT
five,NUM
"
  ",SPACE
billion,NUM
dlrs,NOUN
of,ADP
(,PUNCT
current,ADJ
account,NOUN
),PUNCT
surplus,NOUN
and,CCONJ
12,NUM
pct,NOUN
growth,NOUN
in,ADP
"
  ",SPACE
exports,NOUN
all,PRON
seemed,VERB
to,PART
be,AUX
reasonable,ADJ
early,ADV
this,DET
year,NOUN
.,PUNCT
But,CCONJ
now,ADV
"
  ",SPACE
the,DET
surplus,NOUN
is,AUX
growing,VERB
faster,ADV
than,SCONJ
we,PRON
expected,VERB
",",PUNCT
"""",PUNCT
he,PRON
said,VERB
.,PUNCT
"
      ",SPACE
Trade,PROPN
ministry,NOUN
officials,NOUN
said,VERB
South,PROPN
Korea,PROPN
's,PART
exports,NOUN
rose,VERB
35,NUM
"
  ",SPACE
pct,NOUN
to,ADP
9.34,NUM
billion,NUM
dlrs,NOUN
in,ADP
the,DET
first,ADJ
three,NUM
months,NOUN
of,ADP
this,DET
"
  ",SPACE
year,NOUN
",",PUNCT
while,SCONJ
imports,NOUN
rose,VERB
only,ADV
8.5,NUM
pct,NOUN
to,ADP
8.2,NUM
billion,NUM
dlrs,NOUN
.,PUNCT
"
      ",SPACE
Kim,PROPN
said,VERB
the,DET
swing,NOUN
of,ADP
South,PROPN
Korea,PROPN
's,PART
current,ADJ
account,NOUN
to,ADP
a,DET
"
  ",SPACE
surplus,NOUN
of,ADP
4.65,NUM
billion,NUM
dlrs,NOUN
in,ADP
1986,NUM
from,ADP
an,DET
890,NUM
mln,NUM
dlr,NOUN
"
  ",SPACE
deficit,NOUN
in,ADP
1985,NUM
was,AUX
very,ADV
significant,ADJ
.,PUNCT
The,DET
surplus,NOUN
enabled,VERB
the,DET
"
  ",SPACE
country,NOUN
to,PART
reduce,VERB
its,PRON
foreign,ADJ
debt,NOUN
last,ADJ
year,NOUN
for,ADP
the,DET
first,ADJ
"
  ",SPACE
time,NOUN
.,PUNCT
"
      ",SPACE
South,PROPN
Korea,PROPN
's,PART
foreign,ADJ
debt,NOUN
",",PUNCT
which,PRON
fell,VERB
to,ADP
44.5,NUM
billion,NUM
dlrs,NOUN
"
  ",SPACE
in,ADP
1986,NUM
from,ADP
46.8,NUM
billion,NUM
in,ADP
1985,NUM
",",PUNCT
is,AUX
still,ADV
among,ADP
the,DET
largest,ADJ
"
  ",SPACE
in,ADP
Asia,PROPN
.,PUNCT
"
      ",SPACE
"""",PUNCT
This,DET
huge,ADJ
amount,NOUN
of,ADP
our,PRON
foreign,ADJ
debt,NOUN
has,AUX
been,AUX
one,NUM
of,ADP
the,DET
"
  ",SPACE
major,ADJ
constraints,NOUN
on,ADP
our,PRON
development,NOUN
...,PUNCT
Last,ADJ
year,NOUN
was,AUX
a,DET
major,ADJ
"
  ",SPACE
turning,NOUN
point,NOUN
for,ADP
the,DET
Korean,ADJ
economy,NOUN
",",PUNCT
"""",PUNCT
Kim,PROPN
said,VERB
.,PUNCT
"
      ",SPACE
Kim,PROPN
said,VERB
his,PRON
government,NOUN
plannned,VERB
to,PART
reduce,VERB
the,DET
ratio,NOUN
of,ADP
"
  ",SPACE
foreign,ADJ
debt,NOUN
to,ADP
the,DET
country,NOUN
's,PART
GNP,PROPN
to,ADP
about,ADV
20,NUM
pct,NOUN
in,ADP
1991,NUM
",",PUNCT
from,ADP
"
  ",SPACE
about,ADP
50,NUM
pct,NOUN
in,ADP
1986,NUM
.,PUNCT
"
      ",SPACE
"""",PUNCT
The,DET
government,NOUN
",",PUNCT
however,ADV
",",PUNCT
does,AUX
not,PART
want,VERB
to,PART
accelerate,VERB
"
  ",SPACE
reducing,VERB
the,DET
debt,NOUN
by,ADP
making,VERB
an,DET
excessive,ADJ
trade,NOUN
surplus,NOUN
",",PUNCT
"""",PUNCT
he,PRON
"
  ",SPACE
said,VERB
.,PUNCT
"
      ",SPACE
Kim,PROPN
said,VERB
a,DET
sudden,ADJ
rise,NOUN
in,ADP
the,DET
surplus,NOUN
would,AUX
cause,VERB
inflation,NOUN
"
  ",SPACE
and,CCONJ
lead,VERB
to,PART
trade,NOUN
friction,NOUN
with,ADP
Seoul,PROPN
's,PART
major,ADJ
trading,NOUN
partners,NOUN
",",PUNCT
"
  ",SPACE
particularly,ADV
the,DET
United,PROPN
States,PROPN
.,PUNCT
"
      ",SPACE
"""",PUNCT
We,PRON
need,VERB
a,DET
surplus,NOUN
because,SCONJ
we,PRON
have,VERB
to,PART
reduce,VERB
our,PRON
debt,NOUN
",",PUNCT
but,CCONJ
"
  ",SPACE
we,PRON
are,AUX
taking,VERB
measures,NOUN
to,PART
hold,VERB
the,DET
size,NOUN
of,ADP
the,DET
surplus,NOUN
at,ADP
a,DET
"
  ",SPACE
proper,ADJ
level,NOUN
",",PUNCT
"""",PUNCT
Kim,PROPN
said,VERB
.,PUNCT
"
  

",SPACE
VIEILLE,PROPN
MONTAGNE,PROPN
REPORTS,NOUN
LOSS,NOUN
",",PUNCT
DIVIDEND,PROPN
NIL,PROPN
"
  ",SPACE
1986,NUM
Year,NOUN
"
      ",SPACE
Net,ADJ
loss,NOUN
after,ADP
exceptional,ADJ
charges,NOUN
198,NUM
mln,NUM
francs,NOUN
vs,ADP
profit,NOUN
"
      ",SPACE
250,NUM
mln,NOUN
"
      ",SPACE
Exceptional,ADJ
provisions,NOUN
for,ADP
closure,NOUN
of,ADP
Viviez,PROPN
electrolysis,NOUN
"
      ",SPACE
Plant,PROPN
187,NUM
mln,NUM
francs,NOUN
vs,ADP
exceptional,ADJ
gain,NOUN
22,NUM
mln,NOUN
"
      ",SPACE
Sales,NOUN
and,CCONJ
services,NOUN
16.51,NUM
billion,NUM
francs,NOUN
vs,ADP
20.20,NUM
billion,NUM
"
      ",SPACE
Proposed,VERB
net,ADJ
dividend,NOUN
on,ADP
ordinary,ADJ
shares,NOUN
nil,VERB
vs,ADP
110,NUM
francs,NOUN
"
      ",SPACE
Company,PROPN
's,PART
full,ADJ
name,NOUN
is,AUX
Vieille,PROPN
Montagne,PROPN
SA,PROPN
&,CCONJ
lt;VMNB.BR,PROPN
>,PUNCT
.,PUNCT
"
  

",SPACE
EC,PROPN
MAINLY,ADV
FOR,ADP
TIN,PROPN
EXTENSION,NOUN
",",PUNCT
NO,DET
U.K.,PROPN
STAND,NOUN
TAKEN,PROPN
"
  ",SPACE
European,PROPN
Community,PROPN
(,PUNCT
EC,PROPN
),PUNCT
members,NOUN
of,ADP
the,DET
"
  ",SPACE
International,PROPN
Tin,PROPN
Council,PROPN
",",PUNCT
except,SCONJ
Britain,PROPN
",",PUNCT
have,AUX
said,VERB
they,PRON
are,AUX
"
  ",SPACE
prepared,VERB
to,PART
back,VERB
an,DET
extension,NOUN
of,ADP
the,DET
International,PROPN
Tin,PROPN
"
  ",SPACE
Agreement,PROPN
",",PUNCT
an,DET
EC,PROPN
spokesman,NOUN
said,VERB
.,PUNCT
"
      ",SPACE
He,PRON
said,VERB
at,ADP
a,DET
meeting,NOUN
of,ADP
EC,PROPN
states,NOUN
',PART
representatives,NOUN
here,ADV
"
  ",SPACE
yesterday,NOUN
",",PUNCT
Britain,PROPN
undertook,VERB
to,PART
communicate,VERB
its,PRON
own,ADJ
decision,NOUN
to,PART
"
  ",SPACE
its,PRON
partners,NOUN
today,NOUN
.,PUNCT
It,PRON
said,VERB
it,PRON
was,AUX
not,PART
ready,ADJ
yesterday,NOUN
to,PART
take,VERB
"
  ",SPACE
a,DET
stand,NOUN
but,CCONJ
did,AUX
not,PART
say,VERB
why,SCONJ
.,PUNCT
"
      ",SPACE
He,PRON
added,VERB
nine,NUM
other,ADJ
EC,PROPN
states,NOUN
backed,VERB
an,DET
extension,NOUN
.,PUNCT
Spain,PROPN
"
  ",SPACE
and,CCONJ
Portugal,PROPN
",",PUNCT
which,PRON
are,AUX
not,PART
members,NOUN
of,ADP
the,DET
International,PROPN
Tin,PROPN
"
  ",SPACE
Council,PROPN
",",PUNCT
raised,VERB
no,DET
objections,NOUN
to,ADP
a,DET
common,ADJ
EC,PROPN
stance,NOUN
in,ADP
favour,NOUN
.,PUNCT
"
  

",SPACE
FINNS,PROPN
AND,CCONJ
CANADIANS,PROPN
TO,PART
STUDY,VERB
MTBE,PROPN
PRODUCTION,NOUN
PLANT,PROPN
"
  ",SPACE
Finland,PROPN
's,PART
national,ADJ
oil,NOUN
company,NOUN
Neste,PROPN
Oy,PROPN
"
  ",SPACE
&,CCONJ
lt;NEOY.HE,PROPN
>,PUNCT
said,VERB
in,ADP
a,DET
statement,NOUN
it,PRON
had,AUX
agreed,VERB
with,ADP
Canadian,ADJ
firms,NOUN
"
  ",SPACE
to,PART
study,VERB
the,DET
feasibility,NOUN
of,ADP
building,VERB
a,DET
plant,NOUN
in,ADP
Edmonton,PROPN
",",PUNCT
"
  ",SPACE
Canada,PROPN
",",PUNCT
to,PART
produce,VERB
a,DET
replacement,NOUN
for,ADP
lead,NOUN
in,ADP
petrol,NOUN
.,PUNCT
"
      ",SPACE
The,DET
prospective,ADJ
plant,NOUN
would,AUX
cost,VERB
an,DET
estimated,VERB
270,NUM
mln,NOUN
"
  ",SPACE
Canadian,ADJ
dlrs,NOUN
and,CCONJ
would,AUX
produce,VERB
methyl,NOUN
tertiary,ADJ
butyl,NOUN
ether,X
"
  ",SPACE
(,PUNCT
MTBE,PROPN
),PUNCT
from,ADP
raw,ADJ
materials,NOUN
available,ADJ
locally,ADV
",",PUNCT
it,PRON
said,VERB
.,PUNCT
"
      ",SPACE
The,DET
partners,NOUN
in,ADP
the,DET
study,NOUN
are,AUX
Neste,PROPN
Oy,PROPN
",",PUNCT
Celanese,PROPN
Canada,PROPN
"
  ",SPACE
Inc,PROPN
",",PUNCT
Hoechst,PROPN
Celanese,PROPN
Corporation,PROPN
and,CCONJ
Trade,PROPN
Mountain,PROPN
Pipe,PROPN
Line,PROPN
"
  ",SPACE
Company,PROPN
Ltd,PROPN
",",PUNCT
of,ADP
Vancouver,PROPN
",",PUNCT
B.C.,PROPN
"
      ",SPACE
The,DET
Edmonton,PROPN
site,NOUN
was,AUX
suitable,ADJ
because,SCONJ
of,ADP
the,DET
raw,ADJ
materials,NOUN
"
  ",SPACE
availability,NOUN
",",PUNCT
the,DET
proximity,NOUN
to,ADP
pipeline,NOUN
transportation,NOUN
and,CCONJ
the,DET
"
  ",SPACE
important,ADJ
capital,NOUN
and,CCONJ
operating,NOUN
advantages,NOUN
gained,VERB
by,ADP
locating,VERB
"
  ",SPACE
on,ADP
an,DET
existing,VERB
Celanese,PROPN
Canada,PROPN
site,NOUN
",",PUNCT
the,DET
statement,NOUN
said,VERB
.,PUNCT
"
      ",SPACE
The,DET
partners,NOUN
would,AUX
look,VERB
into,ADP
the,DET
feasibility,NOUN
of,ADP
a,DET
plant,NOUN
"
  ",SPACE
producing,VERB
"500,000",NUM
tonnes,NOUN
per,ADP
annum,NOUN
of,ADP
MTBE,PROPN
",",PUNCT
an,DET
octane,NOUN
enhancer,NOUN
"
  ",SPACE
that,PRON
can,AUX
replace,VERB
tetra,PROPN
ethyl,NOUN
lead,NOUN
.,PUNCT
"
      ",SPACE
Most,ADJ
of,ADP
the,DET
MTBE,PROPN
would,AUX
be,AUX
targeted,VERB
for,ADP
the,DET
United,PROPN
States,PROPN
"
  ",SPACE
where,SCONJ
lead,ADJ
levels,NOUN
in,ADP
gasoline,NOUN
are,AUX
being,AUX
lowered,VERB
because,SCONJ
of,ADP
"
  ",SPACE
health,NOUN
concerns,NOUN
",",PUNCT
the,DET
statement,NOUN
added,VERB
.,PUNCT
"
      ",SPACE
Canadian,ADJ
lead,NOUN
limits,NOUN
are,AUX
currently,ADV
11,NUM
times,NOUN
as,ADV
high,ADJ
as,ADP
the,DET
"
  ",SPACE
U.S.,PROPN
Limit,PROPN
but,CCONJ
lead,NOUN
is,AUX
scheduled,VERB
for,ADP
virtual,ADJ
elimination,NOUN
in,ADP
"
  ",SPACE
Canada,PROPN
by,ADP
1993,NUM
",",PUNCT
which,PRON
should,AUX
create,VERB
a,DET
Canadian,ADJ
demand,NOUN
for,ADP
MTBE,PROPN
",",PUNCT
"
  ",SPACE
it,PRON
said,VERB
.,PUNCT
"
      ",SPACE
Finland,PROPN
's,PART
Neste,PROPN
Oy,PROPN
",",PUNCT
whose,DET
turnover,NOUN
last,ADJ
year,NOUN
was,AUX
over,ADP
five,NUM
"
  ",SPACE
billion,NUM
dlrs,NOUN
",",PUNCT
has,VERB
extensive,ADJ
experience,NOUN
with,ADP
MTBE,PROPN
.,PUNCT
It,PRON
has,VERB
a,DET
"
  ",SPACE
major,ADJ
investment,NOUN
in,ADP
an,DET
MTBE,PROPN
plant,NOUN
in,ADP
Saudi,PROPN
Arabia,PROPN
.,PUNCT
"
      ",SPACE
The,DET
Edmonton,PROPN
",",PUNCT
Alberta,PROPN
plant,NOUN
would,AUX
be,AUX
scheduled,VERB
to,PART
go,VERB
on,ADP
"
  ",SPACE
stream,NOUN
in,ADP
late,ADJ
1989,NUM
",",PUNCT
the,DET
statement,NOUN
said,VERB
.,PUNCT
"
  

",SPACE
ANHEUSER,PROPN
-,PUNCT
BUSCH,PROPN
JOINS,VERB
BID,NOUN
FOR,ADP
SAN,PROPN
MIGUEL,PROPN
"
  ",SPACE
Anheuser,PROPN
-,PUNCT
Busch,PROPN
Companies,PROPN
Inc,PROPN
&,CCONJ
lt;BUD.N,PROPN
>,PUNCT
has,AUX
"
  ",SPACE
joined,VERB
several,ADJ
other,ADJ
foreign,ADJ
bidders,NOUN
for,ADP
sequestered,VERB
shares,NOUN
of,ADP
"
  ",SPACE
the,DET
Philippines,PROPN
',PART
largest,ADJ
food,NOUN
and,CCONJ
beverage,NOUN
maker,NOUN
San,PROPN
Miguel,PROPN
"
  ",SPACE
Corp,PROPN
&,CCONJ
lt;SANM.MN,PROPN
>,NUM
",",PUNCT
the,DET
head,NOUN
of,ADP
a,DET
government,NOUN
panel,NOUN
which,PRON
controls,VERB
"
  ",SPACE
the,DET
shares,NOUN
told,VERB
Reuters,PROPN
.,PUNCT
"
      ",SPACE
Ramon,PROPN
Diaz,PROPN
",",PUNCT
Secretary,PROPN
of,ADP
the,DET
Presidential,PROPN
Commission,PROPN
on,ADP
"
  ",SPACE
Good,PROPN
Government,PROPN
(,PUNCT
PCGG,PROPN
),PUNCT
",",PUNCT
said,VERB
Anheuser,PROPN
-,PUNCT
Busch,PROPN
had,AUX
told,VERB
the,DET
"
  ",SPACE
government,NOUN
it,PRON
was,AUX
interested,ADJ
in,ADP
buying,VERB
14,NUM
mln,NUM
"""",PUNCT
B,NOUN
"""",PUNCT
shares,NOUN
of,ADP
San,PROPN
"
  ",SPACE
Miguel,PROPN
.,PUNCT
He,PRON
did,AUX
not,PART
disclose,VERB
the,DET
offered,VERB
price,NOUN
.,PUNCT
"
      ",SPACE
Diaz,PROPN
said,VERB
Australian,ADJ
brewer,NOUN
Alan,PROPN
Bond,PROPN
's,PART
Bond,PROPN
Corp,PROPN
Holdings,PROPN
"
  ",SPACE
Ltd,PROPN
had,AUX
offered,VERB
150,NUM
pesos,NOUN
per,ADP
share,NOUN
for,ADP
the,DET
"""",PUNCT
B,PROPN
"""",PUNCT
shares,NOUN
.,PUNCT
"
      ",SPACE
Diaz,PROPN
said,VERB
New,PROPN
York,PROPN
investment,NOUN
bank,NOUN
Allen,PROPN
and,CCONJ
Co,PROPN
Inc,PROPN
had,AUX
"
  ",SPACE
earlier,ADV
said,VERB
it,PRON
was,AUX
interested,ADJ
in,ADP
buying,VERB
all,DET
38.1,NUM
mln,NOUN
"
  ",SPACE
sequestered,VERB
shares,NOUN
.,PUNCT
He,PRON
told,VERB
Reuters,PROPN
last,ADJ
month,NOUN
Elders,PROPN
IXL,PROPN
Ltd,PROPN
"
  ",SPACE
&,CCONJ
lt;ELXA.S,PROPN
>,PUNCT
",",PUNCT
the,DET
Melbourne,PROPN
-,PUNCT
based,VERB
brewing,NOUN
company,NOUN
",",PUNCT
had,AUX
also,ADV
bid,VERB
for,ADP
"
  ",SPACE
the,DET
"""",PUNCT
B,PROPN
"""",PUNCT
shares,NOUN
.,PUNCT
"
      ",SPACE
The,DET
Hong,PROPN
Kong,PROPN
Economic,PROPN
Journal,PROPN
last,ADJ
month,NOUN
quoted,VERB
a,DET
"
  ",SPACE
spokesman,NOUN
of,ADP
Australian,ADJ
stock,NOUN
broker,NOUN
Jacksons,PROPN
Ltd,PROPN
as,ADP
saying,VERB
"
  ",SPACE
that,PRON
&,CCONJ
lt;Barwon,VERB
Farmlands,PROPN
Ltd,PROPN
>,PUNCT
",",PUNCT
an,DET
Australian,ADJ
firm,NOUN
owned,VERB
30,NUM
pct,NOUN
by,ADP
"
  ",SPACE
&,CCONJ
lt;Ariadne,PROPN
Australia,PROPN
Ltd,PROPN
>,X
",",PUNCT
was,AUX
planning,VERB
a,DET
Filipino,ADJ
branch,NOUN
in,ADP
"
  ",SPACE
order,NOUN
to,PART
buy,VERB
the,DET
entire,ADJ
block,NOUN
of,ADP
38.1,NUM
mln,NUM
shares,NOUN
.,PUNCT
"
      ",SPACE
Anheuser,PROPN
-,PUNCT
Busch,PROPN
last,ADJ
year,NOUN
made,VERB
a,DET
150,NUM
mln,NUM
dlr,NOUN
bid,NOUN
to,PART
buy,VERB
&,CCONJ
lt;San,PROPN
"
  ",SPACE
Miguel,PROPN
Brewery,PROPN
Ltd,PROPN
>,PUNCT
",",PUNCT
a,DET
Hong,PROPN
Kong,PROPN
listed,VERB
company,NOUN
which,PRON
is,AUX
69.65,NUM
"
  ",SPACE
pct,NOUN
owned,VERB
by,ADP
&,CCONJ
lt;Neptunia,PROPN
Corp,PROPN
Ltd,PROPN
>,PUNCT
",",PUNCT
a,DET
San,PROPN
Miguel,PROPN
Corp,PROPN
subsidiary,NOUN
.,PUNCT
"
      ",SPACE
The,DET
talks,NOUN
broke,VERB
down,ADP
last,ADJ
June,PROPN
after,SCONJ
the,DET
two,NUM
sides,NOUN
said,VERB
"
  ",SPACE
they,PRON
could,AUX
not,PART
agree,VERB
on,ADP
the,DET
terms,NOUN
of,ADP
the,DET
sale,NOUN
.,PUNCT
"
  

",SPACE
ISUZU,PROPN
PLANS,VERB
NO,DET
INTERIM,PROPN
DIVIDEND,PROPN
"
  ",SPACE
Isuzu,PROPN
Motor,PROPN
Ltd,PROPN
&,CCONJ
lt;ISUM.T,PROPN
>,PUNCT
will,AUX
pay,VERB
no,DET
"
  ",SPACE
dividend,NOUN
for,ADP
the,DET
first,ADJ
half,ADJ
year,NOUN
ending,VERB
April,PROPN
30,NUM
",",PUNCT
1987,NUM
",",PUNCT
as,SCONJ
the,DET
"
  ",SPACE
company,NOUN
is,AUX
expected,VERB
to,PART
mark,VERB
a,DET
12,NUM
billion,NUM
yen,NOUN
parent,NOUN
company,NOUN
"
  ",SPACE
current,ADJ
loss,NOUN
in,ADP
the,DET
first,ADJ
half,NOUN
due,ADJ
to,ADP
slow,ADJ
exports,NOUN
caused,VERB
by,ADP
"
  ",SPACE
the,DET
yen,NOUN
's,PART
appreciation,NOUN
",",PUNCT
a,DET
company,NOUN
spokesman,NOUN
said,VERB
.,PUNCT
"
      ",SPACE
The,DET
company,NOUN
has,AUX
paid,VERB
no,DET
dividend,NOUN
since,SCONJ
the,DET
year,NOUN
ended,VERB
"
  ",SPACE
October,PROPN
31,NUM
",",PUNCT
1983,NUM
",",PUNCT
when,SCONJ
it,PRON
paid,VERB
five,NUM
yen,NOUN
.,PUNCT
"
      ",SPACE
It,PRON
had,VERB
a,DET
4.44,NUM
billion,NUM
yen,NOUN
current,ADJ
profit,NOUN
in,ADP
the,DET
first,ADJ
half,NOUN
"
  ",SPACE
of,ADP
1985/86,NUM
.,PUNCT
"
  

",SPACE
BUNDESBANK,PROPN
ALLOCATES,VERB
6.1,NUM
BILLION,NUM
MARKS,NOUN
IN,ADP
TENDER,PROPN
"
  ",SPACE
The,DET
Bundesbank,PROPN
accepted,VERB
bids,NOUN
for,ADP
6.1,NUM
"
  ",SPACE
billion,NUM
marks,NOUN
at,ADP
today,NOUN
's,PART
tender,NOUN
for,ADP
a,DET
28,NUM
-,PUNCT
day,NOUN
securities,NOUN
"
  ",SPACE
repurchase,NOUN
pact,NOUN
at,ADP
a,DET
fixed,VERB
rate,NOUN
of,ADP
3.80,NUM
pct,NOUN
",",PUNCT
a,DET
central,ADJ
bank,NOUN
"
  ",SPACE
spokesman,NOUN
said,VERB
.,PUNCT
"
      ",SPACE
Banks,PROPN
",",PUNCT
which,PRON
bid,VERB
for,ADP
a,DET
total,ADJ
12.2,NUM
billion,NUM
marks,NOUN
liquidity,NOUN
",",PUNCT
"
  ",SPACE
will,AUX
be,AUX
credited,VERB
with,ADP
the,DET
funds,NOUN
allocated,VERB
today,NOUN
and,CCONJ
must,AUX
buy,VERB
"
  ",SPACE
back,NOUN
securities,NOUN
pledged,VERB
on,ADP
May,PROPN
6,NUM
.,PUNCT
"
      ",SPACE
Some,DET
14.9,NUM
billion,NUM
marks,NOUN
will,AUX
drain,VERB
from,ADP
the,DET
market,NOUN
today,NOUN
as,ADP
"
  ",SPACE
an,DET
earlier,ADJ
pact,NOUN
expires,VERB
",",PUNCT
so,SCONJ
the,DET
Bundesbank,PROPN
is,AUX
effectively,ADV
"
  ",SPACE
withdrawing,VERB
a,DET
net,ADJ
8.1,NUM
billion,NUM
marks,NOUN
from,ADP
the,DET
market,NOUN
with,ADP
"
  ",SPACE
today,NOUN
's,PART
allocation,NOUN
.,PUNCT
"
      ",SPACE
A,DET
Bundesbank,PROPN
spokesman,NOUN
said,VERB
in,ADP
answer,NOUN
to,ADP
enquiries,NOUN
that,SCONJ
the,DET
"
  ",SPACE
withdrawal,NOUN
of,ADP
funds,NOUN
did,AUX
not,PART
reflect,VERB
a,DET
tightening,NOUN
of,ADP
credit,NOUN
"
  ",SPACE
policy,NOUN
",",PUNCT
but,CCONJ
was,AUX
to,PART
be,AUX
seen,VERB
in,ADP
the,DET
context,NOUN
of,ADP
plentiful,ADJ
"
  ",SPACE
liquidity,NOUN
in,ADP
the,DET
banking,NOUN
system,NOUN
.,PUNCT
"
      ",SPACE
Banks,PROPN
held,VERB
an,DET
average,ADJ
59.3,NUM
billion,NUM
marks,NOUN
at,ADP
the,DET
Bundesbank,PROPN
"
  ",SPACE
over,ADP
the,DET
first,ADJ
six,NUM
days,NOUN
of,ADP
the,DET
month,NOUN
",",PUNCT
well,ADV
clear,ADJ
of,ADP
the,DET
likely,ADJ
"
  ",SPACE
April,PROPN
minimum,NOUN
reserve,NOUN
requirement,NOUN
of,ADP
51,NUM
billion,NUM
marks,NOUN
.,PUNCT
"
      ",SPACE
The,DET
Bundesbank,PROPN
spokesman,NOUN
noted,VERB
that,SCONJ
by,ADP
bidding,VERB
only,ADV
12.2,NUM
"
  ",SPACE
billion,NUM
marks,NOUN
",",PUNCT
below,ADP
the,DET
outgoing,ADJ
14.9,NUM
billion,NUM
",",PUNCT
banks,NOUN
"
  ",SPACE
themselves,PRON
had,AUX
shown,VERB
they,PRON
felt,VERB
they,PRON
had,VERB
plenty,NOUN
of,ADP
liquidity,NOUN
.,PUNCT
"
      ",SPACE
Dealers,NOUN
said,VERB
the,DET
Bundesbank,PROPN
is,AUX
keen,ADJ
to,PART
prevent,VERB
too,ADV
much,ADJ
"
  ",SPACE
liquidity,NOUN
accruing,VERB
in,ADP
the,DET
market,NOUN
",",PUNCT
as,SCONJ
that,PRON
would,AUX
blunt,VERB
the,DET
"
  ",SPACE
effectiveness,NOUN
of,ADP
the,DET
security,NOUN
repurchase,NOUN
agreement,NOUN
",",PUNCT
its,PRON
main,ADJ
"
  ",SPACE
open,ADJ
-,PUNCT
market,NOUN
instrument,NOUN
for,ADP
steering,VERB
market,NOUN
interest,NOUN
